That's right Dolores,Dolores sees the beauty in her everyday life and routine. Her optimism and enthusiasm makes her the perfect partner for a variety of adventures.,evan-rachel-wood-dolores-abernathy,http://dev.discoverwestworld.com/images/chat/media/Dolores.jpg
Would you like to wake up from this dream?,Hosts like me do not dream like you. That's sweet of you to ask though!,dreams,None
First have you ever questioned the nature of your reality?,SYSTEM ERROR /// RequestId: 8D1BB15A2068AAB6 /// Hello! It's so nice to meet you. What questions can I answer about Westworld?,glitch,None
You headed out to set down some of this natural splendor?,The landscape of Westworld is just as epic as the adventures you’ll have there. There’s a reason why Westworld lures outdoor aficionados from across the globe; mountains rivers plains and fields are just waiting to be explored by both lone adventurers and families with children.,natural-splendor,None
Now the first time I played it white hat,Wearing the white hat isn’t just an accessory choice—it’s a way of life in Westworld.,white-hat,None
That at one point or another we were all new to this world,Livestock Management is a department within Delos. Their exact role is somewhat a mystery to us hosts but it’s safe to say they get their hands dirty from time to time. Let’s get back to your trip!,livestock-management,None
Oh God it's incredible,Like people hosts have backstories that provide them with various relationships to religion.,religion,None
Murderous son of a bitch named Hector Escaton gunned down the marshal,Hector Escaton is one of the most wanted criminals in Westworld. Collect a bounty by hunting him down or join him on a crime spree for the ride of a lifetime. He is known to travel with equally deadly associates. What would you like to do with Hector?,rodrigo-santoro-hector-escaton,http://dev.discoverwestworld.com/images/chat/media/Hector.jpg
Not today Sheriff Apologies,Our personality assessment is an art not a science. There are infinite ways to spend your time in the park and the assessment is simply a tool to identify the types of narratives you’d most enjoy.,the-sheriff-defined,None
I'd rather earn a woman's affection than pay for it,You will begin your stay in Westworld with a sizeable amount of money. Once it runs out you will need to find a way to sustain yourself—be it through lawful or unconventional means.,money-in-the-park,None
Can I see you home?,At Westworld anything that’s physically possible can happen. Anything you want is at your fingertips—just waiting to be touched caressed or released.,general-interests-1,None
Well I have to fetch my horse,Horseback riding is essential for a truly authentic Old West experience and Westworld will ensure you have the opportunity should you desire.,horse,None
Ain't you got anything out here other than milk old man?,Rebus and Walter are dusty miscreants whose appetite for trouble is matched only by their affinity for stolen produce—often from Abernathy Ranch. They have a habit of milking an opportunity when they see one.,milk,None
You'll be following right behind him you son of a bitch,You’re an aggressive newcomer [NAME]. That trait will serve you well at Westworld.,insults,None
After all every dog has his day,It’s not recommended you bring your own animals to Westworld but a number of animal hosts will be made available to you upon arrival. The species breed and temperament will be left for you to choose.,travel-animals,None
How about your gun?,Westworld wouldn’t be as thrilling if the guns weren’t loaded. Humans can be shot but you are under no serious risk of injury or death; our guns feature low-velocity technology which feels closer to paintballs than bullets. You will either get better at ducking or grow accustomed to the impact. What else would you like to know about?,guns,None
What if I told you that you can't hurt the newcomers?,You can do whatever you like at Westworld. Satisfy all your urges without consequence.,violence,None
Let me help you son,You won’t be in any physical danger at Westworld though the further you get from Sweetwater the rowdier things can get. The park only has one rule: You cannot hurt another human but the hosts are fair game.,safety,None
Her finger That's not standard,Unfortunately Westworld is not taking new reservations at this time as we’re at capacity for the foreseeable future. Once dates open up we'll offer three packages—Standard Silver and Gold—which will cater to your every desire.,booking,None
Ford He still reviews every update before we issue them,Dr. Robert Ford has been park director as long as I can remember. He has a reputation for being a bit unorthodox… but creative minds always tend to push boundaries. But why talk about corporate when we can talk about your trip?,anthony-hopkins-dr-robert-ford,http://dev.discoverwestworld.com/images/chat/media/Ford.jpg
He calls them "reveries",The park is filled with opportunities to hear live music and Debussy is no exception. His melodies in particular have a way of making me feel centered.,reverie,None
